0,0
0,67
0,14
1,1
1,41
2,2
2,34
2,13
2,62
3,59
3,3
3,94
3,39
4,68
4,33
4,27
4,4
4,94
5,37
5,61
5,5
5,29
6,64
6,57
6,67
6,6
7,19
7,12
7,7
8,8
8,88
8,69
8,46
8,93
9,9
9,19
9,38
9,30
9,23
10,40
10,10
10,71
10,31
11,90
11,11
11,28
11,93
11,55
12,50
12,91
12,12
12,30
13,25
13,13
14,48
14,14
14,64
15,15
16,16
16,40
17,17
17,28
17,69
17,60
18,18
19,19
19,41
20,20
20,85
21,21
22,54
22,22
23,38
23,50
23,51
23,23
23,30
24,24
24,62
25,25
25,89
25,62
25,61
26,49
26,26
26,70
26,57
27,33
27,27
28,28
28,69
29,65
29,61
29,52
29,29
30,50
30,30
31,40
31,31
32,32
32,53
33,33
33,59
33,91
33,94
34,34
35,35
35,45
35,63
36,92
36,84
36,36
36,47
37,37
38,38
39,87
39,39
40,40
40,71
41,41
42,73
42,42
43,80
43,74
43,43
43,47
44,68
44,44
45,45
46,46
47,74
47,47
47,53
47,92
48,48
48,49
49,49
50,50
51,66
51,51
52,89
52,52
52,79
53,74
53,53
54,54
54,87
55,90
55,93
55,55
56,56
56,76
57,64
57,57
58,81
58,58
59,91
59,94
59,59
60,60
60,69
60,81
61,61
61,89
62,79
62,89
62,62
63,84
63,63
64,64
64,67
65,65
66,66
67,67
68,68
68,94
68,72
69,69
69,88
70,86
70,70
70,79
71,71
72,72
73,73
73,81
74,74
74,82
75,90
75,75
75,85
76,76
77,82
77,77
78,92
78,78
79,79
79,86
79,89
80,80
81,81
82,82
83,83
84,84
85,85
86,86
87,87
88,88
88,93
89,89
90,90
91,91
92,92
93,93
94,94
