(0, 0)
(0, 0)
(0, 67)
(67, 0)
(0, 14)
(14, 0)
(1, 1)
(1, 1)
(1, 41)
(41, 1)
(2, 2)
(2, 2)
(2, 34)
(34, 2)
(2, 13)
(13, 2)
(2, 62)
(62, 2)
(3, 59)
(59, 3)
(3, 3)
(3, 3)
(3, 94)
(94, 3)
(3, 39)
(39, 3)
(4, 68)
(68, 4)
(4, 33)
(33, 4)
(4, 27)
(27, 4)
(4, 4)
(4, 4)
(4, 94)
(94, 4)
(5, 37)
(37, 5)
(5, 61)
(61, 5)
(5, 5)
(5, 5)
(5, 29)
(29, 5)
(6, 64)
(64, 6)
(6, 57)
(57, 6)
(6, 67)
(67, 6)
(6, 6)
(6, 6)
(7, 19)
(19, 7)
(7, 12)
(12, 7)
(7, 7)
(7, 7)
(8, 8)
(8, 8)
(8, 88)
(88, 8)
(8, 69)
(69, 8)
(8, 46)
(46, 8)
(8, 93)
(93, 8)
(9, 9)
(9, 9)
(9, 19)
(19, 9)
(9, 38)
(38, 9)
(9, 30)
(30, 9)
(9, 23)
(23, 9)
(10, 40)
(40, 10)
(10, 10)
(10, 10)
(10, 71)
(71, 10)
(10, 31)
(31, 10)
(11, 90)
(90, 11)
(11, 11)
(11, 11)
(11, 28)
(28, 11)
(11, 93)
(93, 11)
(11, 55)
(55, 11)
(12, 50)
(50, 12)
(12, 91)
(91, 12)
(12, 12)
(12, 12)
(12, 30)
(30, 12)
(13, 25)
(25, 13)
(13, 13)
(13, 13)
(14, 48)
(48, 14)
(14, 14)
(14, 14)
(14, 64)
(64, 14)
(15, 15)
(15, 15)
(16, 16)
(16, 16)
(16, 40)
(40, 16)
(17, 17)
(17, 17)
(17, 28)
(28, 17)
(17, 69)
(69, 17)
(17, 60)
(60, 17)
(18, 18)
(18, 18)
(19, 19)
(19, 19)
(19, 41)
(41, 19)
(20, 20)
(20, 20)
(20, 85)
(85, 20)
(21, 21)
(21, 21)
(22, 54)
(54, 22)
(22, 22)
(22, 22)
(23, 38)
(38, 23)
(23, 50)
(50, 23)
(23, 51)
(51, 23)
(23, 23)
(23, 23)
(23, 30)
(30, 23)
(24, 24)
(24, 24)
(24, 62)
(62, 24)
(25, 25)
(25, 25)
(25, 89)
(89, 25)
(25, 62)
(62, 25)
(25, 61)
(61, 25)
(26, 49)
(49, 26)
(26, 26)
(26, 26)
(26, 70)
(70, 26)
(26, 57)
(57, 26)
(27, 33)
(33, 27)
(27, 27)
(27, 27)
(28, 28)
(28, 28)
(28, 69)
(69, 28)
(29, 65)
(65, 29)
(29, 61)
(61, 29)
(29, 52)
(52, 29)
(29, 29)
(29, 29)
(30, 50)
(50, 30)
(30, 30)
(30, 30)
